Tanggal,Produk,Jumlah,Harga,Total Harga,Satuan
2023-10-29,Indomilk fc,47,130000,6110000,DUS
2023-10-30,Indomilk fc,,130000,,DUS
2023-10-31,Indomilk fc,,130000,,DUS
2023-11-01,Indomilk fc,59,130000,7670000,DUS
2023-11-02,Indomilk fc,77,130000,10010000,DUS
2023-11-03,Indomilk fc,,130000,,DUS
2023-11-04,Indomilk fc,,130000,,DUS
2023-11-05,Indomilk fc,28,130000,3640000,DUS
2023-11-06,Indomilk fc,38,130000,4940000,DUS
2023-11-07,Indomilk fc,47,130000,6110000,DUS
2023-11-08,Indomilk fc,65,130000,8450000,DUS
2023-11-09,Indomilk fc,77,130000,10010000,DUS
2023-11-10,Indomilk fc,92,130000,11960000,DUS
2023-11-11,Indomilk fc,80,130000,10400000,DUS
2023-11-12,Indomilk fc,31,130000,4030000,DUS
2023-11-13,Indomilk fc,32,130000,4160000,DUS
2023-11-14,Indomilk fc,45,130000,5850000,DUS
2023-11-15,Indomilk fc,59,130000,7670000,DUS
2023-11-16,Indomilk fc,81,130000,10530000,DUS
2023-11-17,Indomilk fc,,130000,,DUS
2023-11-18,Indomilk fc,79,130000,10270000,DUS
2023-11-19,Indomilk fc,,130000,,DUS
2023-11-20,Indomilk fc,,130000,,DUS
2023-11-21,Indomilk fc,48,130000,6240000,DUS
2023-11-22,Indomilk fc,61,130000,7930000,DUS
2023-11-23,Indomilk fc,75,130000,9750000,DUS
2023-11-24,Indomilk fc,87,130000,11310000,DUS
2023-11-25,Indomilk fc,87,130000,11310000,DUS
2023-11-26,Indomilk fc,43,130000,5590000,DUS
2023-11-27,Indomilk fc,,130000,,DUS
2023-11-28,Indomilk fc,,130000,,DUS
2023-11-29,Indomilk fc,65,130000,8450000,DUS
2023-11-30,Indomilk fc,88,130000,11440000,DUS
2023-12-01,Indomilk fc,,130000,,DUS
2023-12-02,Indomilk fc,75,130000,9750000,DUS
2023-12-03,Indomilk fc,,130000,,DUS
2023-12-04,Indomilk fc,34,130000,4420000,DUS
2023-12-05,Indomilk fc,40,130000,5200000,DUS
2023-12-06,Indomilk fc,64,130000,8320000,DUS
2023-12-07,Indomilk fc,81,130000,10530000,DUS
2023-12-08,Indomilk fc,97,130000,12610000,DUS
2023-12-09,Indomilk fc,78,130000,10140000,DUS
2023-12-10,Indomilk fc,34,130000,4420000,DUS
2023-12-11,Indomilk fc,31,130000,4030000,DUS
2023-12-12,Indomilk fc,50,130000,6500000,DUS
2023-12-13,Indomilk fc,65,130000,8450000,DUS
2023-12-14,Indomilk fc,,130000,,DUS
2023-12-15,Indomilk fc,,130000,,DUS
2023-12-16,Indomilk fc,78,130000,10140000,DUS
2023-12-17,Indomilk fc,25,130000,3250000,DUS
2023-12-18,Indomilk fc,26,130000,3380000,DUS
2023-12-19,Indomilk fc,42,130000,5460000,DUS
2023-12-20,Indomilk fc,,130000,,DUS
2023-12-21,Indomilk fc,76,130000,9880000,DUS
2023-12-22,Indomilk fc,95,130000,12350000,DUS
2023-12-23,Indomilk fc,,130000,,DUS
2023-12-24,Indomilk fc,33,130000,4290000,DUS
2023-12-25,Indomilk fc,43,130000,5590000,DUS
2023-12-26,Indomilk fc,,130000,,DUS
2023-12-27,Indomilk fc,70,130000,9100000,DUS
2023-12-28,Indomilk fc,86,130000,11180000,DUS
2023-12-29,Indomilk fc,104,130000,13520000,DUS
2023-12-30,Indomilk fc,90,130000,11700000,DUS
2023-12-31,Indomilk fc,,130000,,DUS
2024-01-01,Indomilk fc,30,130000,3900000,DUS
2024-01-02,Indomilk fc,43,130000,5590000,DUS
2024-01-03,Indomilk fc,,130000,,DUS
2024-01-04,Indomilk fc,71,130000,9230000,DUS
2024-01-05,Indomilk fc,97,130000,12610000,DUS
2024-01-06,Indomilk fc,86,130000,11180000,DUS
2024-01-07,Indomilk fc,,130000,,DUS
2024-01-08,Indomilk fc,31,130000,4030000,DUS
2024-01-09,Indomilk fc,,130000,,DUS
2024-01-10,Indomilk fc,,130000,,DUS
2024-01-11,Indomilk fc,81,130000,10530000,DUS
2024-01-12,Indomilk fc,101,130000,13130000,DUS
2024-01-13,Indomilk fc,79,130000,10270000,DUS
2024-01-14,Indomilk fc,,130000,,DUS
2024-01-15,Indomilk fc,19,130000,2470000,DUS
2024-01-16,Indomilk fc,39,130000,5070000,DUS
2024-01-17,Indomilk fc,62,130000,8060000,DUS
2024-01-18,Indomilk fc,80,130000,10400000,DUS
2024-01-19,Indomilk fc,96,130000,12480000,DUS
2024-01-20,Indomilk fc,84,130000,10920000,DUS
2024-01-21,Indomilk fc,31,130000,4030000,DUS
2024-01-22,Indomilk fc,,130000,,DUS
2024-01-23,Indomilk fc,,130000,,DUS
2024-01-24,Indomilk fc,63,130000,8190000,DUS
2024-01-25,Indomilk fc,90,130000,11700000,DUS
2024-01-26,Indomilk fc,108,130000,14040000,DUS
2024-01-27,Indomilk fc,,130000,,DUS
2024-01-28,Indomilk fc,45,130000,5850000,DUS
2024-01-29,Indomilk fc,42,130000,5460000,DUS
2024-01-30,Indomilk fc,58,130000,7540000,DUS
2024-01-31,Indomilk fc,79,130000,10270000,DUS
2024-02-01,Indomilk fc,86,130000,11180000,DUS
2024-02-02,Indomilk fc,99,130000,12870000,DUS
2024-02-03,Indomilk fc,85,130000,11050000,DUS
2024-02-04,Indomilk fc,,130000,,DUS
2024-02-05,Indomilk fc,36,130000,4680000,DUS
2024-02-06,Indomilk fc,52,130000,6760000,DUS
2024-02-07,Indomilk fc,70,130000,9100000,DUS
2024-02-08,Indomilk fc,79,130000,10270000,DUS
2024-02-09,Indomilk fc,99,130000,12870000,DUS
2024-02-10,Indomilk fc,84,130000,10920000,DUS
2024-02-11,Indomilk fc,31,130000,4030000,DUS
2024-02-12,Indomilk fc,39,130000,5070000,DUS
2024-02-13,Indomilk fc,52,130000,6760000,DUS
2024-02-14,Indomilk fc,60,130000,7800000,DUS
2024-02-15,Indomilk fc,83,130000,10790000,DUS
2024-02-16,Indomilk fc,98,130000,12740000,DUS
2024-02-17,Indomilk fc,,130000,,DUS
2024-02-18,Indomilk fc,38,130000,4940000,DUS
2024-02-19,Indomilk fc,37,130000,4810000,DUS
2024-02-20,Indomilk fc,51,130000,6630000,DUS
2024-02-21,Indomilk fc,69,130000,8970000,DUS
2024-02-22,Indomilk fc,84,130000,10920000,DUS
2024-02-23,Indomilk fc,97,130000,12610000,DUS
2024-02-24,Indomilk fc,84,130000,10920000,DUS
2024-02-25,Indomilk fc,51,130000,6630000,DUS
2024-02-26,Indomilk fc,,130000,,DUS
2024-02-27,Indomilk fc,62,130000,8060000,DUS
2024-02-28,Indomilk fc,76,130000,9880000,DUS
2024-02-29,Indomilk fc,94,130000,12220000,DUS
2024-03-01,Indomilk fc,,130000,,DUS
2024-03-02,Indomilk fc,89,130000,11570000,DUS
2024-03-03,Indomilk fc,,130000,,DUS
2024-03-04,Indomilk fc,,130000,,DUS
2024-03-05,Indomilk fc,50,130000,6500000,DUS
2024-03-06,Indomilk fc,66,130000,8580000,DUS
2024-03-07,Indomilk fc,,130000,,DUS
2024-03-08,Indomilk fc,97,130000,12610000,DUS
2024-03-09,Indomilk fc,90,130000,11700000,DUS
2024-03-10,Indomilk fc,,130000,,DUS
2024-03-11,Indomilk fc,46,130000,5980000,DUS
2024-03-12,Indomilk fc,58,130000,7540000,DUS
2024-03-13,Indomilk fc,74,130000,9620000,DUS
2024-03-14,Indomilk fc,,130000,,DUS
2024-03-15,Indomilk fc,,130000,,DUS
2024-03-16,Indomilk fc,90,130000,11700000,DUS
2024-03-17,Indomilk fc,,130000,,DUS
2024-03-18,Indomilk fc,,130000,,DUS
2024-03-19,Indomilk fc,60,130000,7800000,DUS
2024-03-20,Indomilk fc,78,130000,10140000,DUS
2024-03-21,Indomilk fc,90,130000,11700000,DUS
2024-03-22,Indomilk fc,109,130000,14170000,DUS
2024-03-23,Indomilk fc,88,130000,11440000,DUS
2024-03-24,Indomilk fc,,130000,,DUS
2024-03-25,Indomilk fc,58,130000,7540000,DUS
2024-03-26,Indomilk fc,75,130000,9750000,DUS
2024-03-27,Indomilk fc,87,130000,11310000,DUS
2024-03-28,Indomilk fc,99,130000,12870000,DUS
2024-03-29,Indomilk fc,114,130000,14820000,DUS
2024-03-30,Indomilk fc,98,130000,12740000,DUS
2024-03-31,Indomilk fc,55,130000,7150000,DUS
2024-04-01,Indomilk fc,,130000,,DUS
2024-04-02,Indomilk fc,52,130000,6760000,DUS
2024-04-03,Indomilk fc,75,130000,9750000,DUS
2024-04-04,Indomilk fc,90,130000,11700000,DUS
2024-04-05,Indomilk fc,,130000,,DUS
2024-04-06,Indomilk fc,91,130000,11830000,DUS
2024-04-07,Indomilk fc,47,130000,6110000,DUS
2024-04-08,Indomilk fc,,130000,,DUS
2024-04-09,Indomilk fc,61,130000,7930000,DUS
2024-04-10,Indomilk fc,,130000,,DUS
2024-04-11,Indomilk fc,94,130000,12220000,DUS
2024-04-12,Indomilk fc,106,130000,13780000,DUS
2024-04-13,Indomilk fc,93,130000,12090000,DUS
2024-04-14,Indomilk fc,,130000,,DUS
2024-04-15,Indomilk fc,40,130000,5200000,DUS
2024-04-16,Indomilk fc,58,130000,7540000,DUS
2024-04-17,Indomilk fc,75,130000,9750000,DUS
2024-04-18,Indomilk fc,,130000,,DUS
2024-04-19,Indomilk fc,110,130000,14300000,DUS
2024-04-20,Indomilk fc,,130000,,DUS
2024-04-21,Indomilk fc,49,130000,6370000,DUS
2024-04-22,Indomilk fc,47,130000,6110000,DUS
2024-04-23,Indomilk fc,59,130000,7670000,DUS
2024-04-24,Indomilk fc,,130000,,DUS
2024-04-25,Indomilk fc,104,130000,13520000,DUS
2024-04-26,Indomilk fc,,130000,,DUS
2024-04-27,Indomilk fc,103,130000,13390000,DUS
2024-04-28,Indomilk fc,,130000,,DUS
2024-04-29,Indomilk fc,55,130000,7150000,DUS
2024-04-30,Indomilk fc,74,130000,9620000,DUS
2024-05-01,Indomilk fc,,130000,,DUS
2024-05-02,Indomilk fc,102,130000,13260000,DUS
2024-05-03,Indomilk fc,,130000,,DUS
2024-05-04,Indomilk fc,91,130000,11830000,DUS
2024-05-05,Indomilk fc,43,130000,5590000,DUS
2024-05-06,Indomilk fc,45,130000,5850000,DUS
2024-05-07,Indomilk fc,58,130000,7540000,DUS
2024-05-08,Indomilk fc,,130000,,DUS
2024-05-09,Indomilk fc,81,130000,10530000,DUS
2024-05-10,Indomilk fc,,130000,,DUS
2024-05-11,Indomilk fc,93,130000,12090000,DUS
2024-05-12,Indomilk fc,52,130000,6760000,DUS
2024-05-13,Indomilk fc,,130000,,DUS
2024-05-14,Indomilk fc,62,130000,8060000,DUS
2024-05-15,Indomilk fc,83,130000,10790000,DUS
2024-05-16,Indomilk fc,98,130000,12740000,DUS
2024-05-17,Indomilk fc,110,130000,14300000,DUS
2024-05-18,Indomilk fc,,130000,,DUS
2024-05-19,Indomilk fc,46,130000,5980000,DUS
2024-05-20,Indomilk fc,46,130000,5980000,DUS
2024-05-21,Indomilk fc,66,130000,8580000,DUS
2024-05-22,Indomilk fc,92,130000,11960000,DUS
2024-05-23,Indomilk fc,,130000,,DUS
2024-05-24,Indomilk fc,113,130000,14690000,DUS
2024-05-25,Indomilk fc,,130000,,DUS
2024-05-26,Indomilk fc,59,130000,7670000,DUS
2024-05-27,Indomilk fc,59,130000,7670000,DUS
2024-05-28,Indomilk fc,,130000,,DUS
2024-05-29,Indomilk fc,91,130000,11830000,DUS
2024-05-30,Indomilk fc,,130000,,DUS
2024-05-31,Indomilk fc,118,130000,15340000,DUS
2024-06-01,Indomilk fc,92,130000,11960000,DUS
2024-06-02,Indomilk fc,47,130000,6110000,DUS
2024-06-03,Indomilk fc,,130000,,DUS
2024-06-04,Indomilk fc,65,130000,8450000,DUS
2024-06-05,Indomilk fc,93,130000,12090000,DUS
2024-06-06,Indomilk fc,99,130000,12870000,DUS
2024-06-07,Indomilk fc,109,130000,14170000,DUS
2024-06-08,Indomilk fc,93,130000,12090000,DUS
2024-06-09,Indomilk fc,,130000,,DUS
2024-06-10,Indomilk fc,51,130000,6630000,DUS
2024-06-11,Indomilk fc,62,130000,8060000,DUS
2024-06-12,Indomilk fc,78,130000,10140000,DUS
2024-06-13,Indomilk fc,,130000,,DUS
2024-06-14,Indomilk fc,,130000,,DUS
2024-06-15,Indomilk fc,99,130000,12870000,DUS
2024-06-16,Indomilk fc,,130000,,DUS
2024-06-17,Indomilk fc,45,130000,5850000,DUS
2024-06-18,Indomilk fc,,130000,,DUS
2024-06-19,Indomilk fc,86,130000,11180000,DUS
2024-06-20,Indomilk fc,,130000,,DUS
2024-06-21,Indomilk fc,113,130000,14690000,DUS
2024-06-22,Indomilk fc,,130000,,DUS
2024-06-23,Indomilk fc,50,130000,6500000,DUS
2024-06-24,Indomilk fc,49,130000,6370000,DUS
2024-06-25,Indomilk fc,74,130000,9620000,DUS
2024-06-26,Indomilk fc,91,130000,11830000,DUS
2024-06-27,Indomilk fc,105,130000,13650000,DUS
2024-06-28,Indomilk fc,120,130000,15600000,DUS
2024-06-29,Indomilk fc,,130000,,DUS
2024-06-30,Indomilk fc,,130000,,DUS
2024-07-01,Indomilk fc,,130000,,DUS
2024-07-02,Indomilk fc,,130000,,DUS
2024-07-03,Indomilk fc,84,130000,10920000,DUS
2024-07-04,Indomilk fc,100,130000,13000000,DUS
2024-07-05,Indomilk fc,,130000,,DUS
2024-07-06,Indomilk fc,103,130000,13390000,DUS
2024-07-07,Indomilk fc,50,130000,6500000,DUS
2024-07-08,Indomilk fc,50,130000,6500000,DUS
2024-07-09,Indomilk fc,74,130000,9620000,DUS
2024-07-10,Indomilk fc,,130000,,DUS
2024-07-11,Indomilk fc,95,130000,12350000,DUS
2024-07-12,Indomilk fc,112,130000,14560000,DUS
2024-07-13,Indomilk fc,,130000,,DUS
2024-07-14,Indomilk fc,,130000,,DUS
2024-07-15,Indomilk fc,,130000,,DUS
2024-07-16,Indomilk fc,64,130000,8320000,DUS
2024-07-17,Indomilk fc,82,130000,10660000,DUS
2024-07-18,Indomilk fc,,130000,,DUS
2024-07-19,Indomilk fc,109,130000,14170000,DUS
2024-07-20,Indomilk fc,,130000,,DUS
2024-07-21,Indomilk fc,43,130000,5590000,DUS
2024-07-22,Indomilk fc,48,130000,6240000,DUS
2024-07-23,Indomilk fc,62,130000,8060000,DUS
2024-07-24,Indomilk fc,81,130000,10530000,DUS
2024-07-25,Indomilk fc,104,130000,13520000,DUS
2024-07-26,Indomilk fc,,130000,,DUS
2024-07-27,Indomilk fc,107,130000,13910000,DUS
2024-07-28,Indomilk fc,61,130000,7930000,DUS
2024-07-29,Indomilk fc,56,130000,7280000,DUS
2024-07-30,Indomilk fc,64,130000,8320000,DUS
2024-07-31,Indomilk fc,80,130000,10400000,DUS
2024-08-01,Indomilk fc,86,130000,11180000,DUS
2024-08-02,Indomilk fc,,130000,,DUS
2024-08-03,Indomilk fc,,130000,,DUS
2024-08-04,Indomilk fc,42,130000,5460000,DUS
2024-08-05,Indomilk fc,47,130000,6110000,DUS
2024-08-06,Indomilk fc,58,130000,7540000,DUS
2024-08-07,Indomilk fc,77,130000,10010000,DUS
2024-08-08,Indomilk fc,92,130000,11960000,DUS
2024-08-09,Indomilk fc,95,130000,12350000,DUS
2024-08-10,Indomilk fc,87,130000,11310000,DUS
2024-08-11,Indomilk fc,,130000,,DUS
2024-08-12,Indomilk fc,44,130000,5720000,DUS
2024-08-13,Indomilk fc,53,130000,6890000,DUS
2024-08-14,Indomilk fc,75,130000,9750000,DUS
2024-08-15,Indomilk fc,91,130000,11830000,DUS
2024-08-16,Indomilk fc,101,130000,13130000,DUS
2024-08-17,Indomilk fc,88,130000,11440000,DUS
2024-08-18,Indomilk fc,36,130000,4680000,DUS
2024-08-19,Indomilk fc,,130000,,DUS
2024-08-20,Indomilk fc,,130000,,DUS
2024-08-21,Indomilk fc,73,130000,9490000,DUS
2024-08-22,Indomilk fc,85,130000,11050000,DUS
2024-08-23,Indomilk fc,103,130000,13390000,DUS
2024-08-24,Indomilk fc,90,130000,11700000,DUS
2024-08-25,Indomilk fc,,130000,,DUS
2024-08-26,Indomilk fc,58,130000,7540000,DUS
2024-08-27,Indomilk fc,67,130000,8710000,DUS
2024-08-28,Indomilk fc,82,130000,10660000,DUS
2024-08-29,Indomilk fc,103,130000,13390000,DUS
2024-08-30,Indomilk fc,117,130000,15210000,DUS
2024-08-31,Indomilk fc,,130000,,DUS
2024-09-01,Indomilk fc,49,130000,6370000,DUS
2024-09-02,Indomilk fc,40,130000,5200000,DUS
2024-09-03,Indomilk fc,52,130000,6760000,DUS
2024-09-04,Indomilk fc,72,130000,9360000,DUS
2024-09-05,Indomilk fc,83,130000,10790000,DUS
2024-09-06,Indomilk fc,101,130000,13130000,DUS
2024-09-07,Indomilk fc,90,130000,11700000,DUS
2024-09-08,Indomilk fc,40,130000,5200000,DUS
2024-09-09,Indomilk fc,37,130000,4810000,DUS
2024-09-10,Indomilk fc,56,130000,7280000,DUS
2024-09-11,Indomilk fc,76,130000,9880000,DUS
2024-09-12,Indomilk fc,89,130000,11570000,DUS
2024-09-13,Indomilk fc,104,130000,13520000,DUS
2024-09-14,Indomilk fc,86,130000,11180000,DUS
2024-09-15,Indomilk fc,39,130000,5070000,DUS
2024-09-16,Indomilk fc,44,130000,5720000,DUS
2024-09-17,Indomilk fc,51,130000,6630000,DUS
2024-09-18,Indomilk fc,64,130000,8320000,DUS
2024-09-19,Indomilk fc,,130000,,DUS
2024-09-20,Indomilk fc,,130000,,DUS
2024-09-21,Indomilk fc,,130000,,DUS
2024-09-22,Indomilk fc,42,130000,5460000,DUS
2024-09-23,Indomilk fc,39,130000,5070000,DUS
2024-09-24,Indomilk fc,49,130000,6370000,DUS
2024-09-25,Indomilk fc,81,130000,10530000,DUS
2024-09-26,Indomilk fc,93,130000,12090000,DUS
2024-09-27,Indomilk fc,,130000,,DUS
2024-09-28,Indomilk fc,94,130000,12220000,DUS
2024-09-29,Indomilk fc,50,130000,6500000,DUS
2024-09-30,Indomilk fc,51,130000,6630000,DUS
2024-10-01,Indomilk fc,51,130000,6630000,DUS
2024-10-02,Indomilk fc,,130000,,DUS
2024-10-03,Indomilk fc,95,130000,12350000,DUS
2024-10-04,Indomilk fc,103,130000,13390000,DUS
2024-10-05,Indomilk fc,86,130000,11180000,DUS
2024-10-06,Indomilk fc,40,130000,5200000,DUS
2024-10-07,Indomilk fc,,130000,,DUS
2024-10-08,Indomilk fc,57,130000,7410000,DUS
2024-10-09,Indomilk fc,70,130000,9100000,DUS
2024-10-10,Indomilk fc,,130000,,DUS
2024-10-11,Indomilk fc,92,130000,11960000,DUS
2024-10-12,Indomilk fc,81,130000,10530000,DUS
2024-10-13,Indomilk fc,35,130000,4550000,DUS
2024-10-14,Indomilk fc,39,130000,5070000,DUS
2024-10-15,Indomilk fc,53,130000,6890000,DUS
2024-10-16,Indomilk fc,75,130000,9750000,DUS
2024-10-17,Indomilk fc,84,130000,10920000,DUS
2024-10-18,Indomilk fc,104,130000,13520000,DUS
2024-10-19,Indomilk fc,84,130000,10920000,DUS
2024-10-20,Indomilk fc,40,130000,5200000,DUS
2024-10-21,Indomilk fc,36,130000,4680000,DUS
2024-10-22,Indomilk fc,49,130000,6370000,DUS
2024-10-23,Indomilk fc,,130000,,DUS
2024-10-24,Indomilk fc,86,130000,11180000,DUS
2024-10-25,Indomilk fc,112,130000,14560000,DUS
2024-10-26,Indomilk fc,95,130000,12350000,DUS
2024-10-27,Indomilk fc,49,130000,6370000,DUS
2024-10-28,Indomilk fc,,130000,,DUS
2024-10-29,Indomilk fc,61,130000,7930000,DUS
2024-10-30,Indomilk fc,,130000,,DUS
2024-10-31,Indomilk fc,92,130000,11960000,DUS
2024-11-01,Indomilk fc,97,130000,12610000,DUS
2024-11-02,Indomilk fc,,130000,,DUS
2024-11-03,Indomilk fc,37,130000,4810000,DUS
2024-11-04,Indomilk fc,45,130000,5850000,DUS
2024-11-05,Indomilk fc,,130000,,DUS
2024-11-06,Indomilk fc,,130000,,DUS
2024-11-07,Indomilk fc,82,130000,10660000,DUS
2024-11-08,Indomilk fc,98,130000,12740000,DUS
2024-11-09,Indomilk fc,79,130000,10270000,DUS
2024-11-10,Indomilk fc,35,130000,4550000,DUS
2024-11-11,Indomilk fc,34,130000,4420000,DUS
2024-11-12,Indomilk fc,44,130000,5720000,DUS
2024-11-13,Indomilk fc,,130000,,DUS
2024-11-14,Indomilk fc,78,130000,10140000,DUS
2024-11-15,Indomilk fc,92,130000,11960000,DUS
2024-11-16,Indomilk fc,81,130000,10530000,DUS
2024-11-17,Indomilk fc,35,130000,4550000,DUS
2024-11-18,Indomilk fc,42,130000,5460000,DUS
2024-11-19,Indomilk fc,47,130000,6110000,DUS
2024-11-20,Indomilk fc,65,130000,8450000,DUS
2024-11-21,Indomilk fc,78,130000,10140000,DUS
2024-11-22,Indomilk fc,93,130000,12090000,DUS
2024-11-23,Indomilk fc,83,130000,10790000,DUS
2024-11-24,Indomilk fc,37,130000,4810000,DUS
2024-11-25,Indomilk fc,,130000,,DUS
2024-11-26,Indomilk fc,57,130000,7410000,DUS
2024-11-27,Indomilk fc,78,130000,10140000,DUS
2024-11-28,Indomilk fc,,130000,,DUS
2024-11-29,Indomilk fc,,130000,,DUS
2024-11-30,Indomilk fc,93,130000,12090000,DUS
2024-12-01,Indomilk fc,,130000,,DUS
2024-12-02,Indomilk fc,,130000,,DUS
2024-12-03,Indomilk fc,49,130000,6370000,DUS
2024-12-04,Indomilk fc,,130000,,DUS
2024-12-05,Indomilk fc,,130000,,DUS
2024-12-06,Indomilk fc,101,130000,13130000,DUS
2024-12-07,Indomilk fc,86,130000,11180000,DUS
2024-12-08,Indomilk fc,41,130000,5330000,DUS
2024-12-09,Indomilk fc,38,130000,4940000,DUS
2024-12-10,Indomilk fc,46,130000,5980000,DUS
2024-12-11,Indomilk fc,68,130000,8840000,DUS
2024-12-12,Indomilk fc,77,130000,10010000,DUS
2024-12-13,Indomilk fc,99,130000,12870000,DUS
2024-12-14,Indomilk fc,85,130000,11050000,DUS
2024-12-15,Indomilk fc,,130000,,DUS
2024-12-16,Indomilk fc,38,130000,4940000,DUS
2024-12-17,Indomilk fc,52,130000,6760000,DUS
2024-12-18,Indomilk fc,,130000,,DUS
2024-12-19,Indomilk fc,,130000,,DUS
2024-12-20,Indomilk fc,,130000,,DUS
2024-12-21,Indomilk fc,88,130000,11440000,DUS
2024-12-22,Indomilk fc,38,130000,4940000,DUS
2024-12-23,Indomilk fc,40,130000,5200000,DUS
2024-12-24,Indomilk fc,47,130000,6110000,DUS
2024-12-25,Indomilk fc,81,130000,10530000,DUS
2024-12-26,Indomilk fc,92,130000,11960000,DUS
2024-12-27,Indomilk fc,109,130000,14170000,DUS
2024-12-28,Indomilk fc,92,130000,11960000,DUS
2024-12-29,Indomilk fc,47,130000,6110000,DUS
2024-12-30,Indomilk fc,50,130000,6500000,DUS
2024-12-31,Indomilk fc,,130000,,DUS
2025-01-01,Indomilk fc,76,130000,9880000,DUS
2025-01-02,Indomilk fc,85,130000,11050000,DUS
2025-01-03,Indomilk fc,,130000,,DUS
2025-01-04,Indomilk fc,,130000,,DUS
2025-01-05,Indomilk fc,32,130000,4160000,DUS
2025-01-06,Indomilk fc,40,130000,5200000,DUS
2025-01-07,Indomilk fc,,130000,,DUS
2025-01-08,Indomilk fc,70,130000,9100000,DUS
2025-01-09,Indomilk fc,88,130000,11440000,DUS
2025-01-10,Indomilk fc,104,130000,13520000,DUS
2025-01-11,Indomilk fc,83,130000,10790000,DUS
2025-01-12,Indomilk fc,38,130000,4940000,DUS
2025-01-13,Indomilk fc,,130000,,DUS
2025-01-14,Indomilk fc,53,130000,6890000,DUS
2025-01-15,Indomilk fc,74,130000,9620000,DUS
2025-01-16,Indomilk fc,,130000,,DUS
2025-01-17,Indomilk fc,101,130000,13130000,DUS
2025-01-18,Indomilk fc,83,130000,10790000,DUS
2025-01-19,Indomilk fc,,130000,,DUS
2025-01-20,Indomilk fc,40,130000,5200000,DUS
2025-01-21,Indomilk fc,,130000,,DUS
2025-01-22,Indomilk fc,,130000,,DUS
2025-01-23,Indomilk fc,86,130000,11180000,DUS
2025-01-24,Indomilk fc,,130000,,DUS
2025-01-25,Indomilk fc,96,130000,12480000,DUS
2025-01-26,Indomilk fc,,130000,,DUS
2025-01-27,Indomilk fc,59,130000,7670000,DUS
2025-01-28,Indomilk fc,65,130000,8450000,DUS
2025-01-29,Indomilk fc,81,130000,10530000,DUS
2025-01-30,Indomilk fc,98,130000,12740000,DUS
2025-01-31,Indomilk fc,117,130000,15210000,DUS
2025-02-01,Indomilk fc,,130000,,DUS
2025-02-02,Indomilk fc,42,130000,5460000,DUS
2025-02-03,Indomilk fc,42,130000,5460000,DUS
2025-02-04,Indomilk fc,,130000,,DUS
2025-02-05,Indomilk fc,68,130000,8840000,DUS
2025-02-06,Indomilk fc,88,130000,11440000,DUS
2025-02-07,Indomilk fc,107,130000,13910000,DUS
2025-02-08,Indomilk fc,91,130000,11830000,DUS
2025-02-09,Indomilk fc,,130000,,DUS
2025-02-10,Indomilk fc,,130000,,DUS
2025-02-11,Indomilk fc,,130000,,DUS
2025-02-12,Indomilk fc,71,130000,9230000,DUS
2025-02-13,Indomilk fc,93,130000,12090000,DUS
2025-02-14,Indomilk fc,107,130000,13910000,DUS
2025-02-15,Indomilk fc,93,130000,12090000,DUS
2025-02-16,Indomilk fc,44,130000,5720000,DUS
2025-02-17,Indomilk fc,44,130000,5720000,DUS
2025-02-18,Indomilk fc,,130000,,DUS
2025-02-19,Indomilk fc,72,130000,9360000,DUS
2025-02-20,Indomilk fc,90,130000,11700000,DUS
2025-02-21,Indomilk fc,106,130000,13780000,DUS
2025-02-22,Indomilk fc,,130000,,DUS
2025-02-23,Indomilk fc,45,130000,5850000,DUS
2025-02-24,Indomilk fc,46,130000,5980000,DUS
2025-02-25,Indomilk fc,72,130000,9360000,DUS
2025-02-26,Indomilk fc,90,130000,11700000,DUS
2025-02-27,Indomilk fc,102,130000,13260000,DUS
2025-02-28,Indomilk fc,109,130000,14170000,DUS
2025-03-01,Indomilk fc,87,130000,11310000,DUS
2025-03-02,Indomilk fc,46,130000,5980000,DUS
2025-03-03,Indomilk fc,48,130000,6240000,DUS
2025-03-04,Indomilk fc,54,130000,7020000,DUS
2025-03-05,Indomilk fc,73,130000,9490000,DUS
2025-03-06,Indomilk fc,,130000,,DUS
2025-03-07,Indomilk fc,108,130000,14040000,DUS
2025-03-08,Indomilk fc,91,130000,11830000,DUS
2025-03-09,Indomilk fc,,130000,,DUS
2025-03-10,Indomilk fc,38,130000,4940000,DUS
2025-03-11,Indomilk fc,,130000,,DUS
2025-03-12,Indomilk fc,80,130000,10400000,DUS
2025-03-13,Indomilk fc,,130000,,DUS
2025-03-14,Indomilk fc,111,130000,14430000,DUS
2025-03-15,Indomilk fc,95,130000,12350000,DUS
2025-03-16,Indomilk fc,48,130000,6240000,DUS
2025-03-17,Indomilk fc,41,130000,5330000,DUS
2025-03-18,Indomilk fc,64,130000,8320000,DUS
2025-03-19,Indomilk fc,,130000,,DUS
2025-03-20,Indomilk fc,,130000,,DUS
2025-03-21,Indomilk fc,112,130000,14560000,DUS
2025-03-22,Indomilk fc,100,130000,13000000,DUS
2025-03-23,Indomilk fc,,130000,,DUS
2025-03-24,Indomilk fc,,130000,,DUS
2025-03-25,Indomilk fc,,130000,,DUS
2025-03-26,Indomilk fc,90,130000,11700000,DUS
2025-03-27,Indomilk fc,106,130000,13780000,DUS
2025-03-28,Indomilk fc,120,130000,15600000,DUS
2025-03-29,Indomilk fc,106,130000,13780000,DUS
